TIMESTAMP,ORIGINAL_DATA
1739014810524,72.89409520461516
1739014811537,79.30991637116733
1739014812539,72.00126956901151
1739014813540,77.85371909093999
1739024756229,73.31510813821713,simulation
1739024757235,76.77941812697226,simulation
1739024758245,70.76798906071588,simulation
1739024759256,75.09461073337394,simulation
1739024760266,78.70266116712799,simulation
1739024761271,79.60215766661959,simulation
1739024762273,75.86607901937064,simulation
1739024763287,70.67549878123138,simulation
1739024764295,77.9288665093873,simulation
1739024765300,77.1731810833837,simulation
1739024766307,72.20261844449142,simulation
1739024767312,70.22709076324138,simulation
1739024768320,70.5863883471782,simulation
1739024769325,79.99617571572102,simulation
1739024770331,78.69067094578537,simulation
1739024771340,75.64227544667845,simulation
1739024772350,70.71372313569175,simulation
1739024773362,73.31957917106048,simulation
1739024774374,74.60371875852674,simulation
1739024775381,70.786929377445,simulation
1739024776397,78.18824969409246,simulation
1739024777403,72.1488403655799,simulation
1739024778410,72.21376999369528,simulation
1739024779419,73.97150565879467,simulation
1739024780429,78.94523230368281,simulation
1739024781444,79.6509176039548,simulation
1739024782450,72.4857582724799,simulation
1739024783461,76.29168082791965,simulation
1739024784472,77.47126237460917,simulation
1739024785477,74.50959971699498,simulation
1739024786484,75.27534639108708,simulation
1739024787498,70.26403659366278,simulation
1739024788511,70.90238402989576,simulation
1739024789521,73.04344100970017,simulation
1739024790534,70.02775830342928,simulation
1739024791545,75.52216261630244,simulation
1739024792552,71.94919792960523,simulation
1739024793557,70.57730281026123,simulation
1739024794565,72.3458671717678,simulation
1739024795575,70.38551596495526,simulation
1739024796587,77.02778401890495,simulation
1739024797595,73.32108132167559,simulation
1739024798607,75.34993222960817,simulation
1739024799618,73.01178999671087,simulation
1739024800628,77.15665989953337,simulation
1739024801634,78.93198623567775,simulation
1739024802645,71.09422363163472,simulation
1739024803658,75.39276891689497,simulation
1739024804670,79.33573779162413,simulation
1739024805683,74.67988976857089,simulation
1739024806691,71.1710065826369,simulation
1739024807701,72.57127901494587,simulation
1739024808707,71.0435644100353,simulation
1739024809723,73.41194873785933,simulation
1739024810733,70.564267950218,simulation
1739024811745,73.46541643898775,simulation
1739024812757,76.41683929836788,simulation
1739024813768,76.78207435377651,simulation
1739024814778,74.45911942044698,simulation
1739024815788,71.09675260107068,simulation
1739024816802,75.4293631240044,simulation
1739024817812,73.1354925346928,simulation
1739024818820,74.39954598480969,simulation
1739024819831,71.25197291797808,simulation
1739024820839,70.10748131675997,simulation
1739024821845,76.44243818161621,simulation
1739024822857,76.56473166374278,simulation
1739024823869,72.41819285329836,simulation
1739024824875,78.54183591558368,simulation
1739024825888,74.8998899484923,simulation
1739024826900,79.14732254080454,simulation
1739024827911,74.11822318174784,simulation
1739024828924,72.58776277990616,simulation
1739024829935,79.98421648885798,simulation
1739024830943,73.21997158130436,simulation
1739024831954,71.23448812600898,simulation
1739024832961,77.46024841005107,simulation
1739024833970,75.30411738277368,simulation
1739024834979,72.37458231845089,simulation
1739024835986,79.85788736201323,simulation
1739024836993,78.51377618217532,simulation
1739024838001,73.69731125905479,simulation
1739024839013,71.24428462498317,simulation
1739024840017,78.84302811285481,simulation
1739024841017,74.79158702803912,simulation
1739024842024,74.13063280963355,simulation
1739024843030,71.70102741859331,simulation
1739024844041,77.32469078950881,simulation
1739024845049,71.0874313668696,simulation
1739024846054,72.93866028745676,simulation
1739024847062,77.3967062575593,simulation
1739024848076,78.35197226927954,simulation
1739024849086,71.43889105066928,simulation
1739024850096,70.68602428111288,simulation
1739024851107,74.72811734449674,simulation
1739024852118,72.40032236075717,simulation
1739024853131,71.3610546602124,simulation
1739024854144,70.48360952999045,simulation
1739024855152,71.75724269027339,simulation
1739024856164,75.71017944579673,simulation
1739024857171,77.8642457328032,simulation
1739024858181,75.00390631795324,simulation
1739024859196,70.8778814934325,simulation
1739024860205,77.72648254258205,simulation
1739024861216,78.86732362540923,simulation
1739024862222,72.38747848114411,simulation
1739024863236,79.70741170742949,simulation
1739024864250,73.80395966111179,simulation
1739024865258,77.41860644908283,simulation
1739024866265,74.74090414977853,simulation
1739024867278,77.35859211924091,simulation
1739024868289,76.66829637967594,simulation
1739024869300,78.70447847995344,simulation
1739024870310,78.90755720626376,simulation
1739024871316,74.69595463441347,simulation
1739024872329,78.47852977551747,simulation
1739024873340,71.18796676082026,simulation
1739024874352,79.93312266270125,simulation
1739024875364,75.19468354460201,simulation
1739024876442,70.30291615729504,simulation
1739024877507,78.1128433930784,simulation
1739024878512,76.31638456954639,simulation
1739024879520,76.13546365439464,simulation
1739024880527,70.1724674961593,simulation
1739024881541,71.87750656818412,simulation
1739024882550,75.23510419994582,simulation
1739024883558,79.50391801700005,simulation
1739024884562,78.91604729477254,simulation
1739024885573,77.64657891639962,simulation
1739024886578,77.26390362444987,simulation
1739024887589,78.24868757798889,simulation
1739024888598,70.0100426870589,simulation
1739024889612,75.19501726880098,simulation
1739024890634,71.89612710946615,simulation
1739024891638,78.01842388321724,simulation
1739024892645,70.67422976974062,simulation
1739024893671,70.50774552380592,simulation
1739024894683,70.66167003150346,simulation
1739024895691,79.3548678767522,simulation
1739024896817,72.79599037079488,simulation
1739024897832,75.5665399433831,simulation
1739024898854,72.37406368290752,simulation
1739024899863,73.76727202076162,simulation
1739024900870,74.1258730979624,simulation
1739024901876,74.65812742160607,simulation
1739024902881,74.16009480539779,simulation
1739024903889,73.87503444427199,simulation
1739024904902,73.67851774862118,simulation
1739024905917,77.62897252261163,simulation
1739024906925,74.19824118783099,simulation
1739024907929,73.60517854100394,simulation
1739024908934,70.09798074929292,simulation
1739024909940,78.06022830597455,simulation
1739024910946,70.06093120832848,simulation
1739024911954,71.7211865067522,simulation
1739024912963,78.6755740064937,simulation
1739024913971,77.91778352414094,simulation
1739024914979,71.38085033715936,simulation
1739024915986,70.32810554632812,simulation
1739024916996,70.69386986543593,simulation
1739024918004,76.23091164117727,simulation
1739024919010,70.03113693815915,simulation
1739024920024,79.56783940843574,simulation
1739024921032,74.87493817199457,simulation
1739024922040,79.8992746569281,simulation
1739024923047,71.9134029064374,simulation
1739024924053,75.86569590365386,simulation
1739024925061,77.77697966327909,simulation
1739024926070,77.51236148846957,simulation
1739024927081,75.86671777750165,simulation
1739024928089,78.68353430264264,simulation
1739024929101,70.60640726228404,simulation
1739024930108,74.64181381799223,simulation
1739024931117,73.18878550519992,simulation
1739024932122,75.52651722937468,simulation
1739024933135,70.9292039790555,simulation
1739024934145,71.18749680385183,simulation
1739024935151,78.95399084589567,simulation
1739024936158,79.39118032905364,simulation
1739024937167,72.36142773706923,simulation
1739024938179,76.0588554619408,simulation
1739024939191,72.16892905967272,simulation
1739024940202,72.19974706322424,simulation
1739024941207,72.04660443448458,simulation
1739024942213,71.34933612658465,simulation
1739024943221,74.51112079237174,simulation
1739024944225,72.63801225692563,simulation
1739024945233,75.85828857984949,simulation
1739024946242,72.90689660284124,simulation
1739024947253,73.0702728826778,simulation
1739024948263,76.29820424030407,simulation
1739024949274,74.96074028947054,simulation
1739024950283,76.64300371228262,simulation
1739024951295,71.14935138804321,simulation
1739024952301,76.93501475694566,simulation
1739024953311,72.32452343866689,simulation
1739024954317,73.39061482235263,simulation
1739024955331,79.07385292010227,simulation
1739024956341,71.82868547895815,simulation
1739024957354,75.2227822094298,simulation
1739024958365,79.09677894561446,simulation
1739024959377,77.69963342828815,simulation
1739024960383,70.9704818816095,simulation
1739024961394,78.19914465831884,simulation
1739024962407,72.89643706338664,simulation
1739024963417,72.09099135485684,simulation
1739024964431,72.478860918579,simulation
1739024965442,71.10708008821649,simulation
1739024966450,78.82330865952702,simulation
1739024967460,78.69608657045099,simulation
1739024968464,73.92065925117457,simulation
1739024969473,72.66851662921883,simulation
1739024970486,73.54462203890006,simulation
1739024971498,74.40953663572505,simulation
1739024972503,71.57876969415007,simulation
1739024973519,70.2690808401468,simulation
1739024974526,78.64480489761846,simulation
1739024975535,77.23362849333671,simulation
1739024976546,76.9672356091282,simulation
1739024977552,70.24766332071783,simulation
1739024978565,74.37588544589688,simulation
1739024979572,74.68245268588451,simulation
1739024980580,78.48531111555472,simulation
1739024981586,73.33953974582862,simulation
1739024982592,72.9855093367729,simulation
1739024983602,79.91782295034974,simulation
1739024984607,78.11383306161902,simulation
1739024985623,74.18196481356664,simulation
1739024986634,70.16354158796554,simulation
1739024987642,73.86219031174409,simulation
1739024988648,76.44720645615648,simulation
1739024989658,70.61249826331475,simulation
1739024990662,75.87783245767889,simulation
1739024991674,78.95316897378221,simulation
1739024992682,78.70267352792128,simulation
1739024993689,76.96493451352264,simulation
1739024994697,74.06140690429895,simulation
1739024995704,71.35371442452042,simulation
1739024996708,71.36255193383204,simulation
1739024997719,79.18944349268278,simulation
1739024998729,79.90814233417194,simulation
1739024999740,74.74796346893783,simulation
1739025000750,77.33239441934691,simulation
1739025001761,72.52808631633603,simulation
1739025002771,71.66922786139446,simulation
1739025003781,77.78251490192211,simulation
1739025004792,79.91938837075936,simulation
1739025005798,79.66145491928924,simulation
1739025006801,72.42755318351162,simulation
1739025007815,72.23350159993775,simulation
1739025008821,79.30958737319115,simulation
1739025009836,76.17088233366553,simulation
1739025010846,70.04397087981732,simulation
1739025011856,71.19878352811178,simulation
1739025012862,79.60977424668968,simulation
1739025013872,74.81905767658856,simulation
1739025014881,71.51634643225202,simulation
1739025015890,76.55726979658904,simulation
1739025016904,70.4334944956018,simulation
1739025017916,77.72257496354929,simulation
1739025018930,79.92492221633759,simulation
1739025019938,76.28495646299316,simulation
1739025020947,79.35436093041953,simulation
1739025021961,78.70000310776692,simulation
1739025022968,71.64470327949464,simulation
1739025023979,71.54243567896792,simulation
1739025024994,79.96173494675566,simulation
1739025026000,74.99831277668171,simulation
1739025027008,75.56450135311115,simulation
1739025028020,77.75592352747863,simulation
1739025029031,79.14009646050668,simulation
1739025030045,74.15984662737843,simulation
1739025031053,79.25773910942928,simulation
1739025032066,79.39856465018819,simulation
1739025033075,79.08359760854465,simulation
1739025034090,73.0185429255371,simulation
1739025035100,76.88479433557316,simulation
1739025036113,72.40552038221364,simulation
1739025037118,77.90841135953484,simulation
1739025038130,71.96077438919212,simulation
1739025039142,73.40670548119095,simulation
1739025040154,74.77494254346627,simulation
1739025041161,76.51023572140409,simulation
1739025042170,78.26107390195398,simulation
1739025043182,75.10465379570378,simulation
1739025044190,75.90692493543732,simulation
1739025045201,75.78394473319176,simulation
1739025046211,75.38433139650736,simulation
1739025047222,73.2780615155295,simulation
1739025048234,74.45426900046711,simulation
1739025049247,73.48242219905073,simulation
1739025050257,76.8797416763504,simulation
1739025051265,79.34291007966205,simulation
1739025052273,71.16114766590243,simulation
1739025053281,70.23520583550693,simulation
1739025054285,72.45273130696596,simulation
1739025055297,72.86142282915159,simulation
1739025056308,70.76823042764215,simulation
1739025057317,71.38174471309821,simulation
1739025058326,73.37808895185776,simulation
1739025059337,78.17616300851498,simulation
1739025060345,75.83294519411311,simulation
1739025061355,72.85293108356863,simulation
1739025062360,77.70236861638084,simulation
1739025063365,75.16505841222582,simulation
1739025064374,76.9351064442581,simulation
1739025065382,72.20268375159854,simulation
1739025066392,71.32768232417607,simulation
1739025067403,74.79513810656479,simulation
1739025068417,76.88789238877034,simulation
1739025069424,76.93431792347471,simulation
1739025070434,71.3556303241877,simulation
1739025071442,77.094264210542,simulation
1739025072451,79.87461974791127,simulation
1739025073459,74.82676172058237,simulation
1739025074468,70.98529174173693,simulation
1739025075479,73.98050311630968,simulation
1739025076492,73.62555637984492,simulation
1739025077499,76.5172429377283,simulation
1739025078514,73.91756131454325,simulation
1739025079521,73.41220349910161,simulation
1739025080536,70.78617855298424,simulation
1739025081542,73.59775915451087,simulation
1739025082551,73.58786472998422,simulation
1739025083566,78.32433798745642,simulation
1739025084580,73.74484755618052,simulation
1739025085590,73.45382550118094,simulation
1739025086596,75.40061539951671,simulation
1739025087601,77.44468620393629,simulation
1739025088610,72.39410166450182,simulation
1739025089619,78.57933324058249,simulation
1739025090631,74.96805501066197,simulation
1739025091639,78.67442664980979,simulation
1739025092648,76.45052196509663,simulation
1739025093655,71.04897783094583,simulation
1739025094665,72.2684365786428,simulation
1739025095674,76.47254648375697,simulation
1739025096685,75.87054734077142,simulation
1739025097698,73.14613269382136,simulation
1739025098709,71.12575990182236,simulation
1739025099717,75.8255336874874,simulation
1739025100722,76.57303706609544,simulation
1739025101733,73.40680052675295,simulation
1739025102737,74.0060396212769,simulation
1739025103750,76.41246269259867,simulation
1739025104758,74.1171630274596,simulation
1739025105769,73.41443133610014,simulation
1739025106782,73.44815778682771,simulation
1739025107789,75.71536852740246,simulation
1739025108802,70.50913426612463,simulation
1739025109810,79.91772816858499,simulation
1739025110816,73.69914612905137,simulation
1739025111830,72.91821946337095,simulation
1739025112841,71.82251838353146,simulation
1739025113849,77.05883361705091,simulation
1739025114859,71.37548890508481,simulation
1739025115871,79.76446918434745,simulation
1739025116882,76.91371132713955,simulation
1739025117893,70.6093910644323,simulation
1739025118904,70.82909544169232,simulation
1739025119914,74.72186849570862,simulation
1739025120920,71.3630524987164,simulation
1739025121930,73.37918645011322,simulation
1739025122940,70.84695503951596,simulation
1739025123949,78.3695013328759,simulation
1739025124962,73.33790253207333,simulation
1739025125963,77.69203219497022,simulation
1739025126973,78.49581871603262,simulation
1739025127978,74.34057527474295,simulation
1739025128988,73.13117253725967,simulation
1739025129997,77.95548076099303,simulation
1739025131008,79.80600163590985,simulation
1739025132024,77.11469951324774,simulation
1739025133032,76.21129849067094,simulation
1739025134040,74.13738876949357,simulation
1739025135050,71.47541263689504,simulation
1739025136061,74.94972252565613,simulation
1739025137067,75.67129586991612,simulation
1739025138082,79.28430319858393,simulation
1739025139095,78.93768858304247,simulation
1739025140105,76.50943718748172,simulation
1739025141113,73.91188520150487,simulation
1739025142121,76.45639944719906,simulation
1739025143134,70.91103891956121,simulation
1739025144138,76.55539016558288,simulation
1739025145147,71.9403539317114,simulation
1739025146158,76.6202667310419,simulation
1739025147166,72.7372275235419,simulation
1739025148180,77.0090941899729,simulation
1739025149187,74.11594463574649,simulation
1739025150196,79.91467494459704,simulation
1739025151210,78.33197862729659,simulation
1739025152222,74.45675653659208,simulation
1739025153232,75.80717110980997,simulation
1739025154243,78.57368378787454,simulation
1739025155256,73.65526923106854,simulation
1739025156267,72.35291448805798,simulation
1739025157273,76.90665938601173,simulation
1739025158286,71.19633385132101,simulation
1739025159295,78.05257007614652,simulation
1739025160301,79.9287333277155,simulation
1739025161312,77.96023962905575,simulation
1739025162319,71.0278024509011,simulation
1739025163328,70.06326891527783,simulation
1739025164337,71.25561861302589,simulation
1739025165350,75.52008947783324,simulation
1739025166360,78.61926370219899,simulation
1739025167367,79.94636736504462,simulation
1739025168376,77.78468715634739,simulation
1739025169390,70.72192212366801,simulation
1739025170399,79.85779543143389,simulation
1739025171402,72.37025835804066,simulation
1739025172412,74.56983530917645,simulation
1739025173420,78.84916265889143,simulation
1739025174436,76.71774416019866,simulation
1739025175443,79.0569206265352,simulation
1739025176449,72.24137360817976,simulation
1739025177459,76.90739087029827,simulation
1739025178469,74.64432596840419,simulation
1739025179478,73.87791233820063,simulation
1739025180486,71.92984002067818,simulation
1739025181497,73.84409211709925,simulation
1739025182510,71.46237905312229,simulation
1739025183519,70.49804007504773,simulation
